PUB_MONTH,ANCESTRY_COUNT
2005-03,1
2005-09,3
2006-04,4
2006-09,1
2006-10,5
2006-12,3
2007-01,1
2007-02,2
2007-03,3
2007-04,14
2007-05,11
2007-06,13
2007-07,19
2007-08,10
2007-09,52
2007-10,4
2007-11,6
2007-12,5
2008-01,19
2008-02,10
2008-03,19
2008-04,16
2008-05,13
2008-06,15
2008-07,9
2008-08,12
2008-09,20
2008-10,22
2008-11,23
2008-12,38
2009-01,25
2009-02,31
2009-03,22
2009-04,22
2009-05,43
2009-06,16
2009-07,26
2009-08,32
2009-09,28
2009-10,34
2009-11,25
2009-12,24
2010-01,30
2010-02,45
2010-03,41
2010-04,40
2010-05,21
2010-06,40
2010-07,43
2010-08,36
2010-09,46
2010-10,41
2010-11,62
2010-12,42
2011-01,35
2011-02,48
2011-03,36
2011-04,43
2011-05,39
2011-06,64
2011-07,64
2011-08,45
2011-09,47
2011-10,63
2011-11,46
2011-12,39
2012-01,31
2012-02,44
2012-03,51
2012-04,47
2012-05,72
2012-06,52
2012-07,48
2012-08,53
2012-09,63
2012-10,30
2012-11,43
2012-12,67
2013-01,67
2013-02,56
2013-03,70
2013-04,79
2013-05,83
2013-06,32
2013-07,46
2013-08,65
2013-09,62
2013-10,82
2013-11,50
2013-12,37
2014-01,33
2014-02,60
2014-03,34
2014-04,33
2014-05,43
2014-06,76
2014-07,59
2014-08,57
2014-09,79
2014-10,74
2014-11,38
2014-12,42
2015-01,64
2015-02,57
2015-03,73
2015-04,66
2015-05,78
2015-06,110
2015-07,80
2015-08,87
2015-09,75
2015-10,21
2015-11,48
2015-12,78
2016-01,73
2016-02,30
2016-03,49
2016-04,20
2016-05,22
