CAT_MONTH,COUNT(ID)
2008-06,438
2008-07,102
2008-08,50
2008-09,302
2008-10,16
2008-11,37
2008-12,85
2009-01,283
2009-02,76
2009-03,90
2009-04,90
2009-05,188
2009-06,138
2009-07,79
2009-08,17
2009-09,128
2009-10,107
2009-11,122
2009-12,172
2010-01,86
2010-02,101
2010-03,167
2010-04,121
2010-05,159
2010-06,111
2010-07,144
2010-08,25
2010-09,267
2010-10,131
2010-11,113
2010-12,66
2011-01,234
2011-02,14
2011-03,85
2011-04,225
2011-05,174
2011-06,172
2011-07,221
2011-08,127
2011-09,196
2011-10,270
2011-11,147
2011-12,108
2012-01,318
2012-02,133
2012-03,223
2012-04,214
2012-05,88
2012-06,82
2012-07,188
2012-08,588
2012-09,222
2012-10,485
2012-11,528
2012-12,199
2013-01,264
2013-02,415
2013-03,296
2013-04,1236
2013-05,321
2013-06,1107
2013-07,114
2013-08,311
2013-09,590
2013-10,47
2013-11,378
2013-12,147
2014-01,250
2014-02,123
2014-03,573
2014-04,261
2014-05,418
2014-06,47
2014-07,558
2014-08,282
2014-10,683
2014-11,406
2014-12,416
2015-01,106
2015-02,131
2015-04,686
2015-05,779
2015-06,446
2015-07,590
2015-08,178
2015-09,589
2015-10,71
2015-11,326
2015-12,284
2016-01,1010
2016-02,797
2016-03,365
2016-04,101
2016-05,23
2016-06,494
2016-07,1011
(null),5923
