PUB_MONTH,COUNT(ID)
2005-03,1
2005-09,1
2006-04,1
2006-09,3
2006-10,2
2006-12,2
2007-02,9
2007-03,4
2007-04,48
2007-05,15
2007-06,76
2007-07,33
2007-08,5
2007-09,220
2007-10,21
2007-11,6
2007-12,5
2008-01,79
2008-02,29
2008-03,44
2008-04,125
2008-05,80
2008-06,44
2008-07,20
2008-08,49
2008-09,38
2008-10,109
2008-11,96
2008-12,271
2009-01,83
2009-02,129
2009-03,50
2009-04,73
2009-05,168
2009-06,65
2009-07,70
2009-08,103
2009-09,151
2009-10,189
2009-11,170
2009-12,97
2010-01,117
2010-02,306
2010-03,177
2010-04,172
2010-05,98
2010-06,174
2010-07,126
2010-08,356
2010-09,381
2010-10,307
2010-11,274
2010-12,136
2011-01,60
2011-02,263
2011-03,199
2011-04,164
2011-05,156
2011-06,244
2011-07,250
2011-08,272
2011-09,292
2011-10,216
2011-11,240
2011-12,167
2012-01,199
2012-02,152
2012-03,245
2012-04,234
2012-05,564
2012-06,180
2012-07,249
2012-08,285
2012-09,282
2012-10,267
2012-11,354
2012-12,1360
2013-01,1095
2013-02,445
2013-03,378
2013-04,646
2013-05,356
2013-06,363
2013-07,166
2013-08,439
2013-09,266
2013-10,571
2013-11,406
2013-12,404
2014-01,250
2014-02,381
2014-03,156
2014-04,131
2014-05,492
2014-06,416
2014-07,415
2014-08,266
2014-09,626
2014-10,456
2014-11,279
2014-12,403
2015-01,415
2015-02,1146
2015-03,401
2015-04,537
2015-05,701
2015-06,1060
2015-07,1315
2015-08,407
2015-09,481
2015-10,78
2015-11,457
2015-12,2313
2016-01,244
2016-02,191
2016-03,303
2016-04,179
2016-05,69
