PUBMED_ID	CITED_BY
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
15761122	17658951
15761122	16648850
15761122	16252231
15761122	17052657
15761122	20385819
15761122	18347602
15761122	23455636
15761122	20385826
15761122	17362836
15761122	19416921
15761122	19023125
15761122	20694013
16252231	19915575
16252231	19915576
16252231	20711177
16252231	17052657
16252231	18985386
16252231	20070850
16252231	22438815
16252231	19118814
16252231	17362836
16252231	17434096
16252231	21084426
16252231	22451204
16252231	21812969
16252231	17357082
16252231	19772629
16252231	19915575
16252231	19915576
16252231	20711177
16252231	17052657
16252231	18985386
16252231	20070850
16252231	22438815
