PUBMED_ID,URI,TRAIT
15761122,http://www.ebi.ac.uk/efo/EFO_0001365,age-related macular degeneration
16252231,http://www.ebi.ac.uk/efo/EFO_0002508,parkinson's disease
16614226,http://www.ebi.ac.uk/efo/EFO_0001073,obesity
16648850,http://www.ebi.ac.uk/efo/EFO_0004682,QT interval
17052657,http://www.ebi.ac.uk/efo/EFO_0002508,parkinson's disease
17053108,http://www.ebi.ac.uk/efo/EFO_0001365,age-related macular degeneration
17053149,http://www.ebi.ac.uk/efo/EFO_0004874,memory performance
17068223,http://www.ebi.ac.uk/efo/EFO_0003767,inflammatory bowel disease
17099884,http://www.ebi.ac.uk/efo/EFO_0003890,drug dependence
17158188,http://www.ebi.ac.uk/efo/EFO_0003768,nicotine dependence
17223258,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
17293876,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17357082,http://www.orpha.net/ORDO/Orphanet_683,progressive supranuclear palsy
17362836,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
17395743,http://www.ebi.ac.uk/efo/EFO_0003884,chronic kidney disease
17401363,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
17401366,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
17407593,http://www.ebi.ac.uk/efo/EFO_0003768,nicotine dependence
17434096,http://www.ebi.ac.uk/efo/EFO_0000712,stroke
17434869,http://www.ebi.ac.uk/efo/EFO_0004340,body mass index
17435756,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17447842,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17460697,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17463246,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17463246,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
17463248,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17463249,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17470457,http://www.ebi.ac.uk/efo/EFO_0004333,episodic memory
17474819,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
17478679,http://www.ebi.ac.uk/efo/EFO_0000612,myocardial infarction
17478681,http://www.ebi.ac.uk/efo/EFO_0001645,coronary heart disease
17486107,http://www.ebi.ac.uk/efo/EFO_0000289,bipolar disorder
17505501,http://purl.obolibrary.org/obo/GO_0036288,response to ximelagatran
17522711,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
17529967,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
17529973,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
17529974,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
17553421,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
17554260,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
17554261,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17554300,http://www.ebi.ac.uk/efo/EFO_0000289,bipolar disorder
17554300,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17554300,http://www.ebi.ac.uk/efo/EFO_0000537,hypertension
17554300,http://www.ebi.ac.uk/efo/EFO_0000685,rheumatoid arthritis
17554300,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
17554300,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17554300,http://www.ebi.ac.uk/efo/EFO_0001645,coronary heart disease
17558408,http://www.ebi.ac.uk/efo/EFO_0001060,celiac disease
17603472,http://www.ebi.ac.uk/efo/EFO_0000275,atrial fibrillation
17603485,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
17611496,http://www.ebi.ac.uk/efo/EFO_0000270,asthma
