URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0000249,36
http://www.ebi.ac.uk/efo/EFO_0001360,35
http://www.ebi.ac.uk/efo/EFO_0000289,29
http://www.ebi.ac.uk/efo/EFO_0000305,28
http://www.ebi.ac.uk/efo/EFO_0000692,27
http://www.ebi.ac.uk/efo/EFO_0004340,26
http://www.ebi.ac.uk/efo/EFO_0001663,24
http://www.ebi.ac.uk/efo/EFO_0000270,23
http://www.ebi.ac.uk/efo/EFO_0004530,21
http://www.ebi.ac.uk/efo/EFO_0001645,20
http://www.ebi.ac.uk/efo/EFO_0004339,20
http://www.ebi.ac.uk/efo/EFO_0003885,20
http://www.ebi.ac.uk/efo/EFO_0004612,19
http://www.ebi.ac.uk/efo/EFO_0002508,19
http://www.ebi.ac.uk/efo/EFO_0004611,19
http://www.ebi.ac.uk/efo/EFO_0003923,19
http://www.ebi.ac.uk/efo/EFO_0000384,16
http://www.ebi.ac.uk/efo/EFO_0000253,15
http://www.ebi.ac.uk/efo/EFO_0004458,15
http://www.ebi.ac.uk/efo/EFO_0000685,15
http://www.ebi.ac.uk/efo/EFO_0001073,15
http://www.ebi.ac.uk/efo/EFO_0003829,14
http://www.ebi.ac.uk/efo/EFO_0005842,14
http://www.ebi.ac.uk/efo/EFO_0001071,13
http://www.ebi.ac.uk/efo/EFO_0001359,13
http://www.ebi.ac.uk/efo/EFO_0003888,13
http://www.ebi.ac.uk/efo/EFO_0000537,13
http://www.ebi.ac.uk/efo/EFO_0002690,13
http://www.ebi.ac.uk/efo/EFO_0003761,13
http://www.ebi.ac.uk/efo/EFO_0000712,12
http://www.ebi.ac.uk/efo/EFO_0004325,11
http://www.ebi.ac.uk/efo/EFO_0004645,11
http://www.ebi.ac.uk/efo/EFO_0001365,11
http://www.ebi.ac.uk/efo/EFO_0004502,11
http://www.ebi.ac.uk/efo/EFO_0004220,11
http://www.ebi.ac.uk/efo/EFO_0004465,10
http://www.ebi.ac.uk/efo/EFO_0004318,9
http://purl.obolibrary.org/obo/GO_0036273,9
http://www.ebi.ac.uk/efo/EFO_0003884,9
http://www.ebi.ac.uk/efo/EFO_0000729,9
http://www.ebi.ac.uk/efo/EFO_0004682,8
http://purl.obolibrary.org/obo/GO_0036276,8
http://www.ebi.ac.uk/efo/EFO_0003924,8
http://www.ebi.ac.uk/efo/EFO_0000180,8
http://www.ebi.ac.uk/efo/EFO_0002618,8
http://www.ebi.ac.uk/efo/EFO_0000341,8
http://www.ebi.ac.uk/efo/EFO_0000676,8
http://www.ebi.ac.uk/efo/EFO_0004761,8
http://www.ebi.ac.uk/efo/EFO_0004574,8
http://www.ebi.ac.uk/efo/EFO_0003060,7
http://purl.obolibrary.org/obo/GO_0097332,7
http://www.ebi.ac.uk/efo/EFO_0004531,7
http://www.ebi.ac.uk/efo/EFO_0002506,7
http://www.ebi.ac.uk/efo/EFO_0004873,7
http://www.ebi.ac.uk/efo/EFO_0003949,7
http://www.ebi.ac.uk/efo/EFO_0003768,7
http://www.ebi.ac.uk/efo/EFO_0003892,7
http://www.ebi.ac.uk/efo/EFO_0004570,7
http://www.ebi.ac.uk/efo/EFO_0004703,7
http://www.ebi.ac.uk/efo/EFO_0000220,7
http://www.ebi.ac.uk/efo/EFO_0004529,6
http://www.ebi.ac.uk/efo/EFO_0000292,6
http://www.ebi.ac.uk/efo/EFO_0004847,6
http://www.ebi.ac.uk/efo/EFO_0000275,6
http://www.ebi.ac.uk/efo/EFO_0004467,6
http://www.ebi.ac.uk/efo/EFO_0003758,6
http://www.ebi.ac.uk/efo/EFO_0004208,6
http://purl.obolibrary.org/obo/GO_0097327,6
http://www.ebi.ac.uk/efo/EFO_0004541,6
http://www.ebi.ac.uk/efo/EFO_0004190,6
http://www.ebi.ac.uk/efo/EFO_0004300,6
http://www.ebi.ac.uk/efo/EFO_0004342,6
http://www.ebi.ac.uk/efo/EFO_0004365,6
http://www.ebi.ac.uk/efo/EFO_0004731,6
http://www.ebi.ac.uk/efo/EFO_0004207,6
http://www.ebi.ac.uk/efo/EFO_0004832,6
http://www.ebi.ac.uk/efo/EFO_0004246,6
http://www.ebi.ac.uk/efo/EFO_0000756,6
http://www.ebi.ac.uk/efo/EFO_0004461,6
http://www.ebi.ac.uk/efo/EFO_0004505,6
http://www.ebi.ac.uk/efo/EFO_0004532,6
http://www.ebi.ac.uk/efo/EFO_0004623,6
http://www.ebi.ac.uk/efo/EFO_0003821,6
http://www.ebi.ac.uk/efo/EFO_0004827,6
http://www.ebi.ac.uk/efo/EFO_0004298,6
http://www.ebi.ac.uk/efo/EFO_0000571,6
http://www.ebi.ac.uk/efo/EFO_0000677,6
http://www.ebi.ac.uk/efo/EFO_0004464,6
http://www.ebi.ac.uk/efo/EFO_0004639,6
http://www.ebi.ac.uk/efo/EFO_0002916,6
http://www.ebi.ac.uk/efo/EFO_0004725,6
http://www.ebi.ac.uk/efo/EFO_0004742,5
http://www.ebi.ac.uk/efo/EFO_0004735,5
http://www.orpha.net/ORDO/Orphanet_797,5
http://www.ebi.ac.uk/efo/EFO_0004509,5
http://www.ebi.ac.uk/efo/EFO_0004584,5
http://www.ebi.ac.uk/efo/EFO_0003870,5
http://www.ebi.ac.uk/efo/EFO_0003882,5
http://www.ebi.ac.uk/efo/EFO_0000195,5
http://www.ebi.ac.uk/efo/EFO_0006335,5
http://www.ebi.ac.uk/efo/EFO_0004527,5
http://www.ebi.ac.uk/efo/EFO_0004704,5
http://www.ebi.ac.uk/efo/EFO_0004278,5
http://www.ebi.ac.uk/efo/EFO_0000326,5
http://www.ebi.ac.uk/efo/EFO_0003780,5
http://www.ebi.ac.uk/efo/EFO_0003959,5
http://www.ebi.ac.uk/efo/EFO_0004308,5
http://www.ebi.ac.uk/efo/EFO_0000182,5
http://www.ebi.ac.uk/efo/EFO_0004338,5
http://www.ebi.ac.uk/efo/EFO_0004647,5
http://www.ebi.ac.uk/efo/EFO_0006336,5
http://purl.obolibrary.org/obo/GO_0007568,5
http://www.ebi.ac.uk/efo/EFO_0000717,5
http://www.ebi.ac.uk/efo/EFO_0003095,5
http://www.ebi.ac.uk/efo/EFO_0001065,4
http://www.ebi.ac.uk/efo/EFO_0004197,4
http://www.ebi.ac.uk/efo/EFO_0004326,4
http://www.ebi.ac.uk/efo/EFO_0004337,4
http://www.ebi.ac.uk/efo/EFO_0004518,4
http://www.ebi.ac.uk/efo/EFO_0004267,4
http://www.ebi.ac.uk/efo/EFO_0000621,4
http://www.ebi.ac.uk/efo/EFO_0004319,4
http://www.ebi.ac.uk/efo/EFO_0004631,4
http://www.ebi.ac.uk/efo/EFO_0004228,4
http://www.ebi.ac.uk/efo/EFO_0005088,4
http://purl.obolibrary.org/obo/GO_0042493,4
http://www.ebi.ac.uk/efo/EFO_0004327,4
http://www.ebi.ac.uk/efo/EFO_0004526,4
http://www.ebi.ac.uk/efo/EFO_0004216,4
http://www.ebi.ac.uk/efo/EFO_0004276,4
http://www.ebi.ac.uk/efo/EFO_0004305,4
http://www.ebi.ac.uk/efo/EFO_0001422,4
http://www.ebi.ac.uk/efo/EFO_0004191,4
http://www.ebi.ac.uk/efo/EFO_0000612,4
http://www.ebi.ac.uk/efo/EFO_0004749,4
http://purl.obolibrary.org/obo/GO_0061476,4
http://www.ebi.ac.uk/efo/EFO_0001060,4
http://www.ebi.ac.uk/efo/EFO_0004535,4
http://www.ebi.ac.uk/efo/EFO_0003963,4
http://www.ebi.ac.uk/efo/EFO_0001075,4
http://www.ebi.ac.uk/efo/EFO_0004270,4
http://www.orpha.net/ORDO/Orphanet_3389,4
http://www.ebi.ac.uk/efo/EFO_0000274,4
http://www.ebi.ac.uk/efo/EFO_0004746,4
http://www.ebi.ac.uk/efo/EFO_0000516,4
http://www.ebi.ac.uk/efo/EFO_0004330,4
http://www.ebi.ac.uk/efo/EFO_0004462,4
http://www.ebi.ac.uk/efo/EFO_0004591,4
http://www.ebi.ac.uk/efo/EFO_0004309,4
http://www.ebi.ac.uk/efo/EFO_0004533,3
http://www.ebi.ac.uk/efo/EFO_0000095,3
http://www.ebi.ac.uk/efo/EFO_0004622,3
http://www.ebi.ac.uk/efo/EFO_0004684,3
http://www.ebi.ac.uk/efo/EFO_0004723,3
http://www.ebi.ac.uk/efo/EFO_0002609,3
http://www.ebi.ac.uk/efo/EFO_0003890,3
http://www.ebi.ac.uk/efo/EFO_0004257,3
http://www.ebi.ac.uk/efo/EFO_0004840,3
http://purl.obolibrary.org/obo/GO_0036277,3
http://www.ebi.ac.uk/efo/EFO_0000096,3
http://www.ebi.ac.uk/efo/EFO_0000319,3
http://www.ebi.ac.uk/efo/EFO_0000614,3
http://www.ebi.ac.uk/efo/EFO_0004520,3
http://www.ebi.ac.uk/efo/EFO_0004620,3
http://www.ebi.ac.uk/efo/EFO_0002614,3
http://www.ebi.ac.uk/efo/EFO_0004286,3
http://www.ebi.ac.uk/efo/EFO_0000714,3
http://purl.obolibrary.org/obo/GO_0035456,3
http://www.ebi.ac.uk/efo/EFO_0004775,3
http://www.ebi.ac.uk/efo/EFO_0003770,3
http://www.ebi.ac.uk/efo/EFO_0003898,3
http://www.ebi.ac.uk/efo/EFO_0004736,3
http://www.ebi.ac.uk/efo/EFO_0004578,3
http://www.ebi.ac.uk/efo/EFO_0002686,3
http://www.ebi.ac.uk/efo/EFO_0004234,3
http://www.ebi.ac.uk/efo/EFO_0004238,3
http://www.orpha.net/ORDO/Orphanet_232,3
http://www.ebi.ac.uk/efo/EFO_0004252,3
http://www.ebi.ac.uk/efo/EFO_0000660,3
http://www.ebi.ac.uk/efo/EFO_0004310,3
http://www.ebi.ac.uk/efo/EFO_0004343,3
http://www.ebi.ac.uk/efo/EFO_0004466,3
http://www.ebi.ac.uk/efo/EFO_0003144,3
http://www.ebi.ac.uk/efo/EFO_0003767,3
http://www.ebi.ac.uk/efo/EFO_0004268,3
http://www.ebi.ac.uk/efo/EFO_0000178,3
http://www.ebi.ac.uk/efo/EFO_0004329,3
http://www.ebi.ac.uk/efo/EFO_0004576,3
http://www.ebi.ac.uk/efo/EFO_0004653,3
http://www.ebi.ac.uk/efo/EFO_0004730,3
http://purl.obolibrary.org/obo/GO_1901557,3
http://www.ebi.ac.uk/efo/EFO_0004866,3
http://www.ebi.ac.uk/efo/EFO_0005940,3
http://www.ebi.ac.uk/efo/EFO_0004913,3
http://www.ebi.ac.uk/efo/EFO_0004765,3
http://www.ebi.ac.uk/efo/EFO_0003926,3
http://www.ebi.ac.uk/efo/EFO_0004266,3
http://purl.obolibrary.org/obo/GO_0009314,3
http://www.ebi.ac.uk/efo/EFO_0000765,3
http://www.ebi.ac.uk/efo/EFO_0004696,3
http://www.ebi.ac.uk/efo/EFO_0004748,3
http://www.ebi.ac.uk/efo/EFO_0004214,3
http://www.ebi.ac.uk/efo/EFO_0004810,3
http://www.ebi.ac.uk/efo/EFO_0004614,3
http://www.ebi.ac.uk/efo/EFO_0004304,2
http://www.ebi.ac.uk/efo/EFO_0004459,2
http://www.ebi.ac.uk/efo/EFO_0004511,2
http://www.ebi.ac.uk/efo/EFO_0004744,2
http://www.ebi.ac.uk/efo/EFO_0004782,2
http://purl.obolibrary.org/obo/GO_0036272,2
http://www.ebi.ac.uk/efo/EFO_0003819,2
http://purl.obolibrary.org/obo/GO_1901556,2
http://www.ebi.ac.uk/efo/EFO_0005039,2
http://purl.obolibrary.org/obo/GO_0007610,2
http://purl.obolibrary.org/obo/GO_0010226,2
http://purl.obolibrary.org/obo/GO_0070527,2
http://www.ebi.ac.uk/efo/EFO_0000183,2
http://www.ebi.ac.uk/efo/EFO_0000279,2
http://www.ebi.ac.uk/efo/EFO_0001068,2
http://www.ebi.ac.uk/efo/EFO_0004328,2
http://www.ebi.ac.uk/efo/EFO_0004345,2
http://www.ebi.ac.uk/efo/EFO_0004346,2
http://www.ebi.ac.uk/efo/EFO_0004792,2
http://www.ebi.ac.uk/efo/EFO_0004242,2
http://www.ebi.ac.uk/efo/EFO_0004285,2
http://purl.obolibrary.org/obo/GO_0009615,2
http://www.ebi.ac.uk/efo/EFO_0004995,2
http://www.ebi.ac.uk/efo/EFO_0004571,2
http://www.ebi.ac.uk/efo/EFO_0004575,2
http://www.ebi.ac.uk/efo/EFO_0004616,2
http://www.ebi.ac.uk/efo/EFO_0004908,2
http://www.ebi.ac.uk/efo/EFO_0004705,2
http://www.ebi.ac.uk/efo/EFO_0004193,2
http://www.ebi.ac.uk/efo/EFO_0004230,2
http://www.ebi.ac.uk/efo/EFO_0005037,2
http://www.ebi.ac.uk/efo/EFO_0004819,2
http://purl.obolibrary.org/obo/GO_0036287,2
http://www.ebi.ac.uk/efo/EFO_0004528,2
http://www.ebi.ac.uk/efo/EFO_0004311,2
http://www.ebi.ac.uk/efo/EFO_0004579,2
http://www.ebi.ac.uk/efo/EFO_0000707,2
http://www.ebi.ac.uk/efo/EFO_0004550,2
http://purl.obolibrary.org/obo/GO_1901555,2
http://www.ebi.ac.uk/efo/EFO_0004764,2
http://www.ebi.ac.uk/efo/EFO_0003843,2
http://www.ebi.ac.uk/efo/EFO_0004229,2
http://www.ebi.ac.uk/efo/EFO_0004235,2
http://www.ebi.ac.uk/efo/EFO_0004811,2
http://www.ebi.ac.uk/efo/EFO_0004280,2
http://www.orpha.net/ORDO/Orphanet_79102,2
http://www.ebi.ac.uk/efo/EFO_0004863,2
http://www.ebi.ac.uk/efo/EFO_0004296,2
http://www.ebi.ac.uk/efo/EFO_0004302,2
http://www.ebi.ac.uk/efo/EFO_0004747,2
http://www.ebi.ac.uk/efo/EFO_0004192,2
http://www.ebi.ac.uk/efo/EFO_0004226,2
http://www.ebi.ac.uk/efo/EFO_0004273,2
http://www.ebi.ac.uk/efo/EFO_0004860,2
http://www.ebi.ac.uk/efo/EFO_0004565,2
http://www.orpha.net/ORDO/Orphanet_586,2
http://www.ebi.ac.uk/efo/EFO_0000540,2
http://www.ebi.ac.uk/efo/EFO_0004335,2
http://www.ebi.ac.uk/efo/EFO_0004341,2
http://www.ebi.ac.uk/efo/EFO_0004577,2
http://www.ebi.ac.uk/efo/EFO_0004743,2
http://www.ebi.ac.uk/efo/EFO_0002892,2
http://www.ebi.ac.uk/efo/EFO_0003086,2
http://www.ebi.ac.uk/efo/EFO_0003108,2
http://www.ebi.ac.uk/efo/EFO_0003956,2
http://www.ebi.ac.uk/efo/EFO_0004253,2
http://www.orpha.net/ORDO/Orphanet_683,2
http://purl.obolibrary.org/obo/GO_0007608,2
http://purl.obolibrary.org/obo/GO_0042476,2
http://www.ebi.ac.uk/efo/EFO_0005053,2
http://www.orpha.net/ORDO/Orphanet_156071,2
http://www.ebi.ac.uk/efo/EFO_0000401,2
http://www.ebi.ac.uk/efo/EFO_0000681,2
http://www.ebi.ac.uk/efo/EFO_0003896,2
http://www.ebi.ac.uk/efo/EFO_0001054,2
http://www.ebi.ac.uk/efo/EFO_0004468,2
http://www.ebi.ac.uk/efo/EFO_0004581,2
http://www.ebi.ac.uk/efo/EFO_0004714,2
http://www.ebi.ac.uk/efo/EFO_0003912,2
http://www.ebi.ac.uk/efo/EFO_0003778,2
